연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%),game_no
2024,2024-04-11,,2024-04-11,목,평일,4,15,SSG,키움,문학,인천,7250,112,인천,14.4,0.0,1.5,65.0,1
2024,2024-04-11,,2024-04-11,목,평일,4,15,두산,한화,잠실,서울_잠실,22157,108,서울,15.5,0.0,1.8,61.0,1
2024,2024-04-11,,2024-04-11,목,평일,4,15,롯데,삼성,사직,부산,11628,159,부산,14.6,0.0,2.5,71.3,1
2024,2024-04-12,,2024-04-12,금,평일,4,15,KT,SSG,수원,경기_수원,6912,119,수원,16.0,0.0,1.5,66.3,1
2024,2024-04-12,,2024-04-12,금,평일,4,15,두산,LG,잠실,서울_잠실,19916,108,서울,17.2,0.0,2.1,59.6,1
2024,2024-04-12,,2024-04-12,금,평일,4,15,삼성,NC,대구,대구,13104,143,대구,18.0,0.0,1.1,55.1,1
2024,2024-04-12,,2024-04-12,금,평일,4,15,키움,롯데,고척,서울_고척,8838,108,서울,17.2,0.0,2.1,59.6,1
2024,2024-04-12,,2024-04-12,금,평일,4,15,한화,KIA,한밭,기타,12000,133,대전,17.5,0.0,1.4,55.6,1
2024,2024-04-13,,2024-04-13,토,주말,4,15,KT,SSG,수원,경기_수원,13995,119,수원,16.9,0.0,1.5,62.3,1
2024,2024-04-13,,2024-04-13,토,주말,4,15,두산,LG,잠실,서울_잠실,23750,108,서울,19.1,0.0,1.9,52.4,1
2024,2024-04-13,,2024-04-13,토,주말,4,15,삼성,NC,대구,대구,24000,143,대구,19.5,0.0,1.5,50.3,1
2024,2024-04-13,,2024-04-13,토,주말,4,15,키움,롯데,고척,서울_고척,14197,108,서울,19.1,0.0,1.9,52.4,1
2024,2024-04-13,,2024-04-13,토,주말,4,15,한화,KIA,한밭,기타,12000,133,대전,19.3,0.0,1.4,46.9,1
2024,2024-04-14,,2024-04-14,일,주말,4,15,KT,SSG,수원,경기_수원,11280,119,수원,18.6,0.0,1.4,52.1,1
2024,2024-04-14,,2024-04-14,일,주말,4,15,두산,LG,잠실,서울_잠실,22586,108,서울,20.8,0.0,1.9,47.1,1
2024,2024-04-14,,2024-04-14,일,주말,4,15,삼성,NC,대구,대구,20667,143,대구,19.7,0.0,2.1,45.6,1
2024,2024-04-14,,2024-04-14,일,주말,4,15,키움,롯데,고척,서울_고척,12333,108,서울,20.8,0.0,1.9,47.1,1
2024,2024-04-14,,2024-04-14,일,주말,4,15,한화,KIA,한밭,기타,12000,133,대전,20.3,0.0,1.4,45.3,1
2024,2024-04-16,,2024-04-16,화,평일,4,16,LG,롯데,잠실,서울_잠실,16635,108,서울,13.3,2.3,2.5,82.6,1
2024,2024-04-16,,2024-04-16,화,평일,4,16,NC,한화,창원,경남_창원,4658,155,창원,17.4,0.0,1.4,73.1,1
2024,2024-04-16,,2024-04-16,화,평일,4,16,SSG,KIA,문학,인천,12712,112,인천,10.7,2.3,2.5,94.1,1
2024,2024-04-16,,2024-04-16,화,평일,4,16,삼성,두산,대구,대구,7793,143,대구,18.0,0.0,2.4,59.6,1
2024,2024-04-16,,2024-04-16,화,평일,4,16,키움,KT,고척,서울_고척,2877,108,서울,13.3,2.3,2.5,82.6,1
2024,2024-04-17,,2024-04-17,수,평일,4,16,LG,롯데,잠실,서울_잠실,16509,108,서울,15.0,0.0,2.2,65.3,1
2024,2024-04-17,,2024-04-17,수,평일,4,16,NC,한화,창원,경남_창원,9921,155,창원,15.8,0.0,2.0,55.6,1
2024,2024-04-17,,2024-04-17,수,평일,4,16,SSG,KIA,문학,인천,16062,112,인천,12.1,0.0,1.9,77.1,1
2024,2024-04-17,,2024-04-17,수,평일,4,16,삼성,두산,대구,대구,8393,143,대구,17.0,0.0,1.7,52.5,1
2024,2024-04-17,,2024-04-17,수,평일,4,16,키움,KT,고척,서울_고척,3272,108,서울,15.0,0.0,2.2,65.3,1
2024,2024-04-18,,2024-04-18,목,평일,4,16,LG,롯데,잠실,서울_잠실,18200,108,서울,17.3,0.0,2.2,53.3,1
2024,2024-04-18,,2024-04-18,목,평일,4,16,SSG,KIA,문학,인천,14263,112,인천,14.5,0.0,2.4,65.9,1
2024,2024-04-18,,2024-04-18,목,평일,4,16,삼성,두산,대구,대구,8697,143,대구,18.0,0.0,1.9,52.5,1
2024,2024-04-18,,2024-04-18,목,평일,4,16,키움,KT,고척,서울_고척,2901,108,서울,17.3,0.0,2.2,53.3,1
2024,2024-04-19,,2024-04-19,금,평일,4,16,KIA,NC,광주,광주,16889,156,광주,19.1,0.0,0.9,50.8,1
2024,2024-04-19,,2024-04-19,금,평일,4,16,SSG,LG,문학,인천,14097,112,인천,15.3,0.0,2.4,60.9,1
2024,2024-04-19,,2024-04-19,금,평일,4,16,두산,키움,잠실,서울_잠실,10649,108,서울,17.6,0.0,2.1,51.8,1
2024,2024-04-19,,2024-04-19,금,평일,4,16,롯데,KT,사직,부산,10636,159,부산,17.9,0.0,3.2,59.1,1
2024,2024-04-19,,2024-04-19,금,평일,4,16,한화,삼성,한밭,기타,12000,133,대전,18.2,0.0,1.4,45.4,1
2024,2024-04-20,,2024-04-20,토,주말,4,16,KIA,NC,광주,광주,17462,156,광주,16.5,10.0,1.5,85.1,1
2024,2024-04-20,,2024-04-20,토,주말,4,16,한화,삼성,한밭,기타,12000,133,대전,14.1,3.5,2.0,78.6,1
2024,2024-04-21,,2024-04-21,일,주말,4,16,KIA,NC,광주,광주,20500,156,광주,15.6,2.8,0.6,99.0,1
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,19858,112,인천,16.9,0.0,3.7,66.5,1
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,9656,112,인천,16.9,0.0,3.7,66.5,2
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,13745,108,서울,17.2,0.0,3.8,65.5,1
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,6197,108,서울,17.2,0.0,3.8,65.5,2
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,14423,159,부산,15.8,2.1,3.1,87.6,1
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,7582,159,부산,15.8,2.1,3.1,87.6,2
2024,2024-04-21,,2024-04-21,일,주말,4,16,한화,삼성,한밭,기타,12000,133,대전,16.2,0.1,2.7,72.0,1
2024,2024-04-23,,2024-04-23,화,평일,4,17,KT,한화,수원,경기_수원,10887,119,수원,16.3,0.3,2.6,77.9,1
2024,2024-04-23,,2024-04-23,화,평일,4,17,두산,NC,잠실,서울_잠실,5664,108,서울,17.3,0.0,3.6,55.0,1
2024,2024-04-23,,2024-04-23,화,평일,4,17,삼성,LG,대구,대구,7494,143,대구,14.0,4.5,4.1,72.8,1
2024,2024-04-23,,2024-04-23,화,평일,4,17,키움,KIA,고척,서울_고척,10205,108,서울,17.3,0.0,3.6,55.0,1
2024,2024-04-24,,2024-04-24,수,평일,4,17,KT,한화,수원,경기_수원,12538,119,수원,13.1,18.4,2.5,77.9,1
2024,2024-04-24,,2024-04-24,수,평일,4,17,두산,NC,잠실,서울_잠실,6444,108,서울,13.2,9.0,3.0,80.1,1
2024,2024-04-24,,2024-04-24,수,평일,4,17,롯데,SSG,사직,부산,8499,159,부산,15.2,0.0,3.0,74.0,1
2024,2024-04-24,,2024-04-24,수,평일,4,17,삼성,LG,대구,대구,10159,143,대구,14.2,1.9,2.0,74.9,1
2024,2024-04-24,,2024-04-24,수,평일,4,17,키움,KIA,고척,서울_고척,11048,108,서울,13.2,9.0,3.0,80.1,1
2024,2024-04-25,,2024-04-25,목,평일,4,17,KT,한화,수원,경기_수원,11247,119,수원,13.5,0.0,1.5,76.8,1
2024,2024-04-25,,2024-04-25,목,평일,4,17,두산,NC,잠실,서울_잠실,7385,108,서울,14.4,0.0,1.9,75.6,1
2024,2024-04-25,,2024-04-25,목,평일,4,17,롯데,SSG,사직,부산,10518,159,부산,17.1,0.0,3.6,59.9,1
2024,2024-04-25,,2024-04-25,목,평일,4,17,삼성,LG,대구,대구,12012,143,대구,18.5,0.0,2.3,53.9,1
2024,2024-04-25,,2024-04-25,목,평일,4,17,키움,KIA,고척,서울_고척,13287,108,서울,14.4,0.0,1.9,75.6,1
2024,2024-04-26,,2024-04-26,금,평일,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,17.8,0.0,1.9,61.1,1
2024,2024-04-26,,2024-04-26,금,평일,4,17,NC,롯데,창원,경남_창원,16573,155,창원,15.9,0.0,1.1,76.3,1
2024,2024-04-26,,2024-04-26,금,평일,4,17,SSG,KT,문학,인천,10075,112,인천,15.9,0.0,1.7,74.0,1
2024,2024-04-26,,2024-04-26,금,평일,4,17,키움,삼성,고척,서울_고척,9519,108,서울,17.8,0.0,1.9,61.1,1
2024,2024-04-26,,2024-04-26,금,평일,4,17,한화,두산,한밭,기타,12000,133,대전,17.8,0.0,1.3,62.5,1
2024,2024-04-27,,2024-04-27,토,주말,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,18.2,0.0,1.9,56.4,1
2024,2024-04-27,,2024-04-27,토,주말,4,17,NC,롯데,창원,경남_창원,17891,155,창원,19.1,0.0,1.4,68.9,1
2024,2024-04-27,,2024-04-27,토,주말,4,17,SSG,KT,문학,인천,16957,112,인천,15.3,0.0,2.2,70.1,1
2024,2024-04-27,,2024-04-27,토,주말,4,17,키움,삼성,고척,서울_고척,15073,108,서울,18.2,0.0,1.9,56.4,1
2024,2024-04-27,,2024-04-27,토,주말,4,17,한화,두산,한밭,기타,12000,133,대전,18.7,0.0,1.6,49.3,1
2024,2024-04-28,,2024-04-28,일,주말,4,17,LG,KIA,잠실,서울_잠실,23750,108,서울,20.7,0.0,1.6,53.5,1
2024,2024-04-28,,2024-04-28,일,주말,4,17,NC,롯데,창원,경남_창원,17891,155,창원,18.8,0.0,1.5,69.3,1
2024,2024-04-28,,2024-04-28,일,주말,4,17,SSG,KT,문학,인천,13196,112,인천,17.4,0.0,1.9,69.5,1
2024,2024-04-28,,2024-04-28,일,주말,4,17,키움,삼성,고척,서울_고척,13354,108,서울,20.7,0.0,1.6,53.5,1
2024,2024-04-28,,2024-04-28,일,주말,4,17,한화,두산,한밭,기타,12000,133,대전,19.9,0.0,1.2,50.0,1
2024,2024-04-30,,2024-04-30,화,평일,4,18,KIA,KT,광주,광주,17210,156,광주,16.8,0.0,1.1,87.3,1
2024,2024-04-30,,2024-04-30,화,평일,4,18,NC,LG,창원,경남_창원,7278,155,창원,17.4,0.0,1.6,80.9,1
2024,2024-04-30,,2024-04-30,화,평일,4,18,두산,삼성,잠실,서울_잠실,20170,108,서울,18.6,0.0,2.2,62.5,1
2024,2024-04-30,,2024-04-30,화,평일,4,18,롯데,키움,사직,부산,13376,159,부산,16.3,0.0,2.6,82.4,1
2024,2024-04-30,,2024-04-30,화,평일,4,18,한화,SSG,한밭,기타,12000,133,대전,16.6,0.0,1.7,70.8,1
2024,2024-05-01,,2024-05-01,수,평일,5,18,KIA,KT,광주,광주,17402,156,광주,14.8,2.4,0.9,98.8,1
2024,2024-05-01,,2024-05-01,수,평일,5,18,NC,LG,창원,경남_창원,10397,155,창원,14.8,0.2,2.4,65.8,1
2024,2024-05-01,,2024-05-01,수,평일,5,18,두산,삼성,잠실,서울_잠실,23750,108,서울,18.5,0.0,2.4,46.0,1
2024,2024-05-01,,2024-05-01,수,평일,5,18,롯데,키움,사직,부산,14791,159,부산,14.1,0.0,3.7,64.3,1
2024,2024-05-01,,2024-05-01,수,평일,5,18,한화,SSG,한밭,기타,12000,133,대전,16.5,0.0,3.3,50.8,1
2024,2024-05-02,,2024-05-02,목,평일,5,18,KIA,KT,광주,광주,16502,156,광주,17.0,0.0,0.8,78.9,1
2024,2024-05-02,,2024-05-02,목,평일,5,18,NC,LG,창원,경남_창원,6338,155,창원,14.1,0.0,2.0,65.3,1
2024,2024-05-02,,2024-05-02,목,평일,5,18,두산,삼성,잠실,서울_잠실,20395,108,서울,18.1,0.0,2.4,48.4,1
2024,2024-05-02,,2024-05-02,목,평일,5,18,롯데,키움,사직,부산,12569,159,부산,14.7,0.0,2.5,63.1,1
2024,2024-05-02,,2024-05-02,목,평일,5,18,한화,SSG,한밭,기타,10890,133,대전,17.0,0.0,2.0,50.5,1
2024,2024-05-03,,2024-05-03,금,평일,5,18,KIA,한화,광주,광주,20500,156,광주,19.3,0.0,1.0,58.3,1
2024,2024-05-03,,2024-05-03,금,평일,5,18,KT,키움,수원,경기_수원,8213,119,수원,16.8,0.0,1.5,56.8,1
2024,2024-05-03,,2024-05-03,금,평일,5,18,LG,두산,잠실,서울_잠실,23750,108,서울,19.7,0.0,1.9,46.9,1
2024,2024-05-03,,2024-05-03,금,평일,5,18,SSG,NC,문학,인천,13737,112,인천,17.2,0.0,2.1,58.8,1
2024,2024-05-03,,2024-05-03,금,평일,5,18,삼성,롯데,대구,대구,24000,143,대구,19.2,0.0,1.5,51.0,1
2024,2024-05-04,,2024-05-04,토,주말,5,18,KIA,한화,광주,광주,20500,156,광주,20.3,0.0,1.5,71.0,1
2024,2024-05-04,,2024-05-04,토,주말,5,18,KT,키움,수원,경기_수원,14620,119,수원,19.1,0.0,1.6,51.9,1
2024,2024-05-04,,2024-05-04,토,주말,5,18,LG,두산,잠실,서울_잠실,23750,108,서울,21.4,0.0,1.9,44.8,1
2024,2024-05-04,,2024-05-04,토,주말,5,18,SSG,NC,문학,인천,22079,112,인천,18.8,0.0,2.0,51.3,1
2024,2024-05-04,,2024-05-04,토,주말,5,18,삼성,롯데,대구,대구,24000,143,대구,20.4,0.0,1.7,52.5,1
2024,2024-05-07,,2024-05-07,화,평일,5,19,LG,SSG,잠실,서울_잠실,13387,108,서울,13.3,2.4,3.0,77.3,1
2024,2024-05-07,,2024-05-07,화,평일,5,19,키움,두산,고척,서울_고척,7339,108,서울,13.3,2.4,3.0,77.3,1
2024,2024-05-08,,2024-05-08,수,평일,5,19,KT,NC,수원,경기_수원,4480,119,수원,13.9,0.0,2.1,59.9,1
2024,2024-05-08,,2024-05-08,수,평일,5,19,LG,SSG,잠실,서울_잠실,15699,108,서울,14.7,0.0,2.3,58.8,1
