연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-04-04,,2025-04-04,금,평일,4,14,LG,KIA,잠실,서울_잠실,23750,108,서울,10.6,,2.2,54.5
2025,2025-04-04,,2025-04-04,금,평일,4,14,SSG,KT,문학,인천,13323,112,인천,8.8,,2.5,68.3
2025,2025-04-04,,2025-04-04,금,평일,4,14,키움,NC,고척,서울_고척,5161,108,서울,10.6,,2.2,54.5
2025,2025-04-04,,2025-04-04,금,평일,4,14,롯데,두산,사직,부산,17293,159,부산,10.8,,3.0,58.0
2025,2025-04-05,,2025-04-05,토,주말,4,14,삼성,한화,대구,대구,24000,143,대구,11.8,,2.0,58.9
2025,2025-04-05,,2025-04-05,토,주말,4,14,키움,NC,고척,서울_고척,8895,108,서울,8.0,22.8,1.9,86.1
2025,2025-04-05,,2025-04-05,토,주말,4,14,롯데,두산,사직,부산,21807,159,부산,11.9,,3.9,65.3
2025,2025-04-06,,2025-04-06,일,주말,4,14,삼성,한화,대구,대구,24000,143,대구,13.2,,3.7,37.9
2025,2025-04-06,,2025-04-06,일,주말,4,14,LG,KIA,잠실,서울_잠실,23750,108,서울,10.3,,2.8,67.3
2025,2025-04-06,,2025-04-06,일,주말,4,14,SSG,KT,문학,인천,18679,112,인천,8.3,,3.1,82.5
2025,2025-04-06,,2025-04-06,일,주말,4,14,키움,NC,고척,서울_고척,7041,108,서울,10.3,,2.8,67.3
2025,2025-04-06,,2025-04-06,일,주말,4,14,롯데,두산,사직,부산,22665,159,부산,12.7,,3.5,43.9
2025,2025-04-08,,2025-04-08,화,평일,4,15,두산,한화,잠실,서울_잠실,20986,108,서울,13.8,,3.1,55.0
2025,2025-04-08,,2025-04-08,화,평일,4,15,롯데,KIA,사직,부산,14038,159,부산,15.8,,5.7,50.5
2025,2025-04-08,,2025-04-08,화,평일,4,15,키움,LG,고척,서울_고척,10452,108,서울,13.8,,3.1,55.0
2025,2025-04-08,,2025-04-08,화,평일,4,15,KT,NC,수원,경기_수원,5233,119,수원,12.4,,2.9,60.0
2025,2025-04-08,,2025-04-08,화,평일,4,15,삼성,SSG,대구,대구,19327,143,대구,17.2,,3.5,35.3
2025,2025-04-09,,2025-04-09,수,평일,4,15,두산,한화,잠실,서울_잠실,19300,108,서울,12.7,0.8,2.0,51.6
2025,2025-04-09,,2025-04-09,수,평일,4,15,롯데,KIA,사직,부산,13551,159,부산,14.3,,2.7,64.5
2025,2025-04-09,,2025-04-09,수,평일,4,15,키움,LG,고척,서울_고척,9967,108,서울,12.7,0.8,2.0,51.6
2025,2025-04-09,,2025-04-09,수,평일,4,15,KT,NC,수원,경기_수원,3667,119,수원,11.6,0.2,1.8,56.1
2025,2025-04-09,,2025-04-09,수,평일,4,15,삼성,SSG,대구,대구,20632,143,대구,14.6,,1.7,53.3
2025,2025-04-10,,2025-04-10,목,평일,4,15,두산,한화,잠실,서울_잠실,21561,108,서울,13.2,,2.2,60.6
2025,2025-04-10,,2025-04-10,목,평일,4,15,롯데,KIA,사직,부산,13726,159,부산,15.4,,3.9,70.4
2025,2025-04-10,,2025-04-10,목,평일,4,15,키움,LG,고척,서울_고척,10627,108,서울,13.2,,2.2,60.6
2025,2025-04-10,,2025-04-10,목,평일,4,15,KT,NC,수원,경기_수원,5086,119,수원,11.9,,1.9,60.4
2025,2025-04-10,,2025-04-10,목,평일,4,15,삼성,SSG,대구,대구,21291,143,대구,15.8,,2.3,53.0
2025,2025-04-11,,2025-04-11,금,평일,4,15,NC,롯데,사직,부산,13728,159,부산,15.0,,2.3,63.6
2025,2025-04-11,,2025-04-11,금,평일,4,15,LG,두산,잠실,서울_잠실,23750,108,서울,16.2,,2.0,51.8
2025,2025-04-11,,2025-04-11,금,평일,4,15,KIA,SSG,광주,광주,20500,156,광주,15.4,,1.2,53.6
2025,2025-04-11,,2025-04-11,금,평일,4,15,KT,삼성,수원,경기_수원,17416,119,수원,13.9,,1.4,61.4
2025,2025-04-11,,2025-04-11,금,평일,4,15,한화,키움,대전,대전,17000,133,대전,16.2,,1.5,47.0
2025,2025-04-12,,2025-04-12,토,주말,4,15,NC,롯데,사직,부산,15222,159,부산,13.3,12.0,2.6,83.3
2025,2025-04-12,,2025-04-12,토,주말,4,15,LG,두산,잠실,서울_잠실,22938,108,서울,12.9,15.4,3.1,66.5
2025,2025-04-12,,2025-04-12,토,주말,4,15,한화,키움,대전,대전,15457,133,대전,14.7,13.0,2.6,57.0
