연도,월,주차_ISO,stadium_capacity,is_capacity_missing,is_rain,is_hot,is_weekend,is_friday,is_saturday,is_sunday,weekday_sin,weekday_cos,is_small_stadium,is_derby,is_season_opener,is_childrens_day,home_win_rate,visitor_win_rate,win_rate_diff,home_gb_to_5th,visitor_gb_to_5th,is_pennant_race,playoff_urgency,month_x_playoff_urgency,home_prior_mean_att,visitor_prior_mean_att,home_last5_mean_att,visitor_last5_mean_att,home_draw_pct_in_league,visitor_away_draw_pct_in_league,home_visitor_prior_draw_diff,matchup_prior_mean_att,season_progress,홈팀,방문팀,구장,rain_bucket,temp_bucket,humidity_bucket,wind_bucket,stadium_x_rain
2024,3,12,20500,0,0,0,1,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0,3.0,9.0,15374.526785714286,14327.658333333333,14859.1,14899.9,0.55,0.55,0.0,13914.8,0.0,KIA,키움,광주,No_Rain,Cold,Humid,Calm,광주_0
2024,3,12,18700,0,0,0,1,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,0.0,1.0,-1.0,1.0,0.0,0,2.0,6.0,15374.526785714286,14327.658333333333,14859.1,14899.9,0.55,0.55,0.0,13914.8,0.0,KT,삼성,수원,No_Rain,Cold,Humid,Light,수원_0
2024,3,12,23750,0,1,0,1,0,1,0,-0.9749279121818236,-0.2225209339563146,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0,3.0,9.0,15374.526785714286,14327.658333333333,14859.1,14899.9,0.55,0.55,0.0,13914.8,0.0,LG,한화,잠실,Rain_0_1mm,Cold,Humid,Light,잠실_1
