연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2024,2024-04-02,,2024-04-02,화,평일,4,14,KT,KIA,수원,경기_수원,9682,119,수원,14.3,,1.2,
2024,2024-04-02,,2024-04-02,화,평일,4,14,한화,롯데,한밭,기타,12000,133,대전,16.1,,1.4,46.5
2024,2024-04-02,,2024-04-02,화,평일,4,14,LG,NC,잠실,서울_잠실,11845,108,서울,15.4,,2.0,37.5
2024,2024-04-02,,2024-04-02,화,평일,4,14,SSG,두산,문학,인천,12379,112,인천,14.2,,2.3,47.4
2024,2024-04-02,,2024-04-02,화,평일,4,14,삼성,키움,대구,대구,8541,143,대구,15.7,2.9,1.5,51.3
2024,2024-04-03,,2024-04-03,수,평일,4,14,KT,KIA,수원,경기_수원,8050,119,수원,14.7,8.5,1.6,79.6
2024,2024-04-03,,2024-04-03,수,평일,4,14,LG,NC,잠실,서울_잠실,10239,108,서울,16.6,,1.8,55.9
2024,2024-04-03,,2024-04-03,수,평일,4,14,SSG,두산,문학,인천,12128,112,인천,14.7,,2.3,55.9
2024,2024-04-04,,2024-04-04,목,평일,4,14,KT,KIA,수원,경기_수원,10722,119,수원,15.0,,2.5,61.1
2024,2024-04-04,,2024-04-04,목,평일,4,14,한화,롯데,한밭,기타,12000,133,대전,13.4,,2.5,71.6
2024,2024-04-04,,2024-04-04,목,평일,4,14,LG,NC,잠실,서울_잠실,11406,108,서울,15.5,,2.9,52.1
2024,2024-04-04,,2024-04-04,목,평일,4,14,SSG,두산,문학,인천,14249,112,인천,14.9,,2.6,57.4
2024,2024-04-04,,2024-04-04,목,평일,4,14,삼성,키움,대구,대구,8193,143,대구,12.4,,3.7,64.6
2024,2024-04-05,,2024-04-05,금,평일,4,14,키움,한화,고척,서울_고척,16000,108,서울,14.0,,2.5,51.3
2024,2024-04-05,,2024-04-05,금,평일,4,14,LG,KT,잠실,서울_잠실,13818,108,서울,14.0,,2.5,51.3
2024,2024-04-05,,2024-04-05,금,평일,4,14,롯데,두산,사직,부산,12289,159,부산,13.5,,3.0,60.8
2024,2024-04-05,,2024-04-05,금,평일,4,14,NC,SSG,창원,경남_창원,5452,155,창원,13.4,,2.0,61.9
2024,2024-04-05,,2024-04-05,금,평일,4,14,KIA,삼성,광주,광주,14233,156,광주,14.3,,0.9,84.4
2024,2024-04-06,,2024-04-06,토,주말,4,14,키움,한화,고척,서울_고척,16000,108,서울,12.7,,1.9,48.6
2024,2024-04-06,,2024-04-06,토,주말,4,14,LG,KT,잠실,서울_잠실,21824,108,서울,12.7,,1.9,48.6
2024,2024-04-06,,2024-04-06,토,주말,4,14,롯데,두산,사직,부산,19208,159,부산,14.3,,2.2,65.9
2024,2024-04-06,,2024-04-06,토,주말,4,14,NC,SSG,창원,경남_창원,11064,155,창원,14.1,,1.0,69.5
2024,2024-04-06,,2024-04-06,토,주말,4,14,KIA,삼성,광주,광주,20500,156,광주,14.2,,0.8,77.0
2024,2024-04-07,,2024-04-07,일,주말,4,14,키움,한화,고척,서울_고척,16000,108,서울,14.8,,2.0,33.4
2024,2024-04-07,,2024-04-07,일,주말,4,14,LG,KT,잠실,서울_잠실,19249,108,서울,14.8,,2.0,33.4
2024,2024-04-07,,2024-04-07,일,주말,4,14,롯데,두산,사직,부산,16755,159,부산,17.1,,2.0,53.5
2024,2024-04-07,,2024-04-07,일,주말,4,14,NC,SSG,창원,경남_창원,8861,155,창원,16.3,,1.7,55.9
2024,2024-04-07,,2024-04-07,일,주말,4,14,KIA,삼성,광주,광주,20500,156,광주,16.8,,0.9,58.0
2024,2024-04-09,,2024-04-09,화,평일,4,15,두산,한화,잠실,서울_잠실,23598,108,서울,15.3,,3.5,32.4
2024,2024-04-09,,2024-04-09,화,평일,4,15,NC,KT,창원,경남_창원,4918,155,창원,14.0,,2.2,53.5
