날짜,요일,홈,방문,구장,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm)
2025/03/22,토,KT,한화,수원,18700,119,수원,12.0,
2025/03/22,토,LG,롯데,잠실,23750,108,서울,12.8,
2025/03/22,토,KIA,NC,광주,20500,156,광주,13.7,
2025/03/22,토,SSG,두산,문학,23000,112,인천,10.9,
2025/03/22,토,삼성,키움,대구,24000,143,대구,17.4,
2025/03/23,일,KT,한화,수원,18700,119,수원,13.8,
2025/03/23,일,LG,롯데,잠실,23750,108,서울,15.2,
2025/03/23,일,KIA,NC,광주,20500,156,광주,15.7,
2025/03/23,일,SSG,두산,문학,23000,112,인천,12.7,
2025/03/23,일,삼성,키움,대구,24000,143,대구,17.5,
2025/03/25,화,LG,한화,잠실,23750,108,서울,12.7,
2025/03/25,화,SSG,롯데,문학,13860,112,인천,10.0,
2025/03/25,화,삼성,NC,대구,21024,143,대구,18.9,
2025/03/25,화,KT,두산,수원,8141,119,수원,12.3,
2025/03/25,화,KIA,키움,광주,15053,156,광주,16.2,
2025/03/26,수,LG,한화,잠실,23750,108,서울,15.5,
2025/03/26,수,SSG,롯데,문학,14855,112,인천,14.3,
2025/03/26,수,삼성,NC,대구,24000,143,대구,17.7,
2025/03/26,수,KT,두산,수원,9607,119,수원,14.7,
2025/03/26,수,KIA,키움,광주,17780,156,광주,17.6,
2025/03/27,목,LG,한화,잠실,23750,108,서울,13.7,0.3
2025/03/27,목,SSG,롯데,문학,14155,112,인천,11.2,0.6
2025/03/27,목,삼성,NC,대구,20781,143,대구,19.6,1.2
2025/03/27,목,KT,두산,수원,9024,119,수원,13.2,0.2
2025/03/27,목,KIA,키움,광주,12288,156,광주,15.9,
2025/03/28,금,한화K,IA,대전,17000,133,대전,7.5,
2025/03/28,금,롯데,KT,사직,22665,159,부산,10.9,0.4
2025/03/28,금,NC,LG,창원,15510,155,창원,11.8,
2025/03/28,금,키움S,SG,고척,11002,108,서울,6.5,
2025/03/28,금,두산,삼성,잠실,23750,108,서울,6.5,
2025/03/29,토,한화K,IA,대전,17000,133,대전,3.9,
2025/03/29,토,롯데,KT,사직,22665,159,부산,7.8,
2025/03/29,토,NC,LG,창원,17943,155,창원,7.7,
2025/03/29,토,키움S,SG,고척,13785,108,서울,3.3,
2025/03/29,토,두산,삼성,잠실,23750,108,서울,3.3,
2025/03/30,일,한화K,IA,대전,17000,133,대전,4.4,
2025/03/30,일,롯데,KT,사직,22665,159,부산,5.5,
2025/03/30,일,키움S,SG,고척,13081,108,서울,3.3,
2025/03/30,일,두산,삼성,잠실,23750,108,서울,3.3,
2025/04/02,수,KT,LG,수원,7829,119,수원,7.8,
2025/04/02,수,한화,롯데,대전,16252,133,대전,9.6,
2025/04/02,수,KIA,삼성,광주,12172,156,광주,9.7,
2025/04/02,수,두산,키움,잠실,8336,108,서울,8.9,
2025/04/03,목,KT,LG,수원,8627,119,수원,8.3,
2025/04/03,목,한화,롯데,대전,16559,133,대전,10.3,
2025/04/03,목,KIA,삼성,광주,12826,156,광주,9.9,
2025/04/03,목,두산,키움,잠실,9131,108,서울,9.8,
2025/04/04,금,삼성,한화,대구,24000,143,대구,11.3,
2025/04/04,금,LGK,IA,잠실,23750,108,서울,10.6,
2025/04/04,금,SSG,KT,문학,13323,112,인천,8.8,
2025/04/04,금,키움,NC,고척,5161,108,서울,10.6,
2025/04/04,금,롯데,두산,사직,17293,159,부산,10.8,
2025/04/05,토,삼성,한화,대구,24000,143,대구,11.8,
2025/04/05,토,키움,NC,고척,8895,108,서울,8.0,22.8
2025/04/05,토,롯데,두산,사직,21807,159,부산,11.9,
2025/04/06,일,삼성,한화,대구,24000,143,대구,13.2,
2025/04/06,일,LGK,IA,잠실,23750,108,서울,10.3,
2025/04/06,일,SSG,KT,문학,18679,112,인천,8.3,
2025/04/06,일,키움,NC,고척,7041,108,서울,10.3,
2025/04/06,일,롯데,두산,사직,22665,159,부산,12.7,
2025/04/08,화,두산,한화,잠실,20986,108,서울,13.8,
2025/04/08,화,롯데K,IA,사직,14038,159,부산,15.8,
2025/04/08,화,키움,LG,고척,10452,108,서울,13.8,
2025/04/08,화,KT,NC,수원,5233,119,수원,12.4,
2025/04/08,화,삼성S,SG,대구,19327,143,대구,17.2,
2025/04/09,수,두산,한화,잠실,19300,108,서울,12.7,0.8
2025/04/09,수,롯데K,IA,사직,13551,159,부산,14.3,
2025/04/09,수,키움,LG,고척,9967,108,서울,12.7,0.8
2025/04/09,수,KT,NC,수원,3667,119,수원,11.6,0.2
2025/04/09,수,삼성S,SG,대구,20632,143,대구,14.6,
2025/04/10,목,두산,한화,잠실,21561,108,서울,13.2,
2025/04/10,목,롯데K,IA,사직,13726,159,부산,15.4,
2025/04/10,목,키움,LG,고척,10627,108,서울,13.2,
2025/04/10,목,KT,NC,수원,5086,119,수원,11.9,
2025/04/10,목,삼성S,SG,대구,21291,143,대구,15.8,
2025/04/11,금,NC,롯데,사직,13728,159,부산,15.0,
2025/04/11,금,LG,두산,잠실,23750,108,서울,16.2,
2025/04/11,금,KIAS,SG,광주,20500,156,광주,15.4,
2025/04/11,금,KT,삼성,수원,17416,119,수원,13.9,
2025/04/11,금,한화,키움,대전,17000,133,대전,16.2,
2025/04/12,토,NC,롯데,사직,15222,159,부산,13.3,12.0
2025/04/12,토,LG,두산,잠실,22938,108,서울,12.9,15.4
2025/04/12,토,한화,키움,대전,15457,133,대전,14.7,13.0
2025/04/13,일,NC,롯데,사직,21003,159,부산,9.8,21.5
2025/04/13,일,LG,두산,잠실,23750,108,서울,5.5,4.2
2025/04/13,일,KIAS,SG,광주,20500,156,광주,7.5,0.9
2025/04/13,일,KT,삼성,수원,18700,119,수원,5.6,4.3
2025/04/13,일,한화,키움,대전,17000,133,대전,5.8,5.2
2025/04/15,화,SSG,한화,문학,15618,112,인천,7.7,
2025/04/15,화,KIA,KT,광주,10979,156,광주,9.7,0.4
2025/04/15,화,LG,삼성,잠실,23750,108,서울,8.2,
2025/04/15,화,롯데,키움,사직,9714,159,부산,10.9,
2025/04/16,수,SSG,한화,문학,16785,112,인천,14.1,
2025/04/16,수,KIA,KT,광주,12423,156,광주,15.8,
2025/04/16,수,LG,삼성,잠실,23750,108,서울,14.6,
2025/04/16,수,롯데,키움,사직,11679,159,부산,14.4,
2025/04/17,목,SSG,한화,문학,18098,112,인천,17.6,
2025/04/17,목,KIA,KT,광주,12104,156,광주,20.6,
2025/04/17,목,LG,삼성,잠실,23750,108,서울,19.7,
2025/04/17,목,롯데,키움,사직,11812,159,부산,16.9,
2025/04/18,금,두산K,IA,잠실,23750,108,서울,18.6,
2025/04/18,금,키움,KT,고척,4666,108,서울,18.6,
2025/04/18,금,SSG,LG,문학,18091,112,인천,14.7,
2025/04/18,금,삼성,롯데,대구,24000,143,대구,21.7,
2025/04/18,금,한화,NC,대전,17000,133,대전,21.4,
2025/04/19,토,두산K,IA,잠실,23750,108,서울,15.3,9.2
2025/04/19,토,키움,KT,고척,8281,108,서울,15.3,9.2
2025/04/19,토,SSG,LG,문학,18727,112,인천,13.4,10.2
