연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-04-10,,2025-04-10,목,평일,4,15,두산,한화,잠실,서울_잠실,21561
2025,2025-04-10,,2025-04-10,목,평일,4,15,롯데,KIA,사직,부산,13726
2025,2025-04-10,,2025-04-10,목,평일,4,15,키움,LG,고척,서울_고척,10627
2025,2025-04-10,,2025-04-10,목,평일,4,15,KT,NC,수원,경기_수원,5086
2025,2025-04-10,,2025-04-10,목,평일,4,15,삼성,SSG,대구,대구,21291
2025,2025-04-11,,2025-04-11,금,평일,4,15,NC,롯데,사직,부산,13728
2025,2025-04-11,,2025-04-11,금,평일,4,15,LG,두산,잠실,서울_잠실,23750
2025,2025-04-11,,2025-04-11,금,평일,4,15,KIA,SSG,광주,광주,20500
2025,2025-04-11,,2025-04-11,금,평일,4,15,KT,삼성,수원,경기_수원,17416
2025,2025-04-11,,2025-04-11,금,평일,4,15,한화,키움,대전,대전,17000
2025,2025-04-12,,2025-04-12,토,주말,4,15,NC,롯데,사직,부산,15222
2025,2025-04-12,,2025-04-12,토,주말,4,15,LG,두산,잠실,서울_잠실,22938
2025,2025-04-12,,2025-04-12,토,주말,4,15,한화,키움,대전,대전,15457
2025,2025-04-13,,2025-04-13,일,주말,4,15,NC,롯데,사직,부산,21003
2025,2025-04-13,,2025-04-13,일,주말,4,15,LG,두산,잠실,서울_잠실,23750
2025,2025-04-13,,2025-04-13,일,주말,4,15,KIA,SSG,광주,광주,20500
2025,2025-04-13,,2025-04-13,일,주말,4,15,KT,삼성,수원,경기_수원,18700
2025,2025-04-13,,2025-04-13,일,주말,4,15,한화,키움,대전,대전,17000
2025,2025-04-15,,2025-04-15,화,평일,4,16,SSG,한화,문학,인천,15618
2025,2025-04-15,,2025-04-15,화,평일,4,16,KIA,KT,광주,광주,10979
2025,2025-04-15,,2025-04-15,화,평일,4,16,LG,삼성,잠실,서울_잠실,23750
2025,2025-04-15,,2025-04-15,화,평일,4,16,롯데,키움,사직,부산,9714
2025,2025-04-16,,2025-04-16,수,평일,4,16,SSG,한화,문학,인천,16785
2025,2025-04-16,,2025-04-16,수,평일,4,16,KIA,KT,광주,광주,12423
2025,2025-04-16,,2025-04-16,수,평일,4,16,LG,삼성,잠실,서울_잠실,23750
2025,2025-04-16,,2025-04-16,수,평일,4,16,롯데,키움,사직,부산,11679
2025,2025-04-17,,2025-04-17,목,평일,4,16,SSG,한화,문학,인천,18098
2025,2025-04-17,,2025-04-17,목,평일,4,16,KIA,KT,광주,광주,12104
2025,2025-04-17,,2025-04-17,목,평일,4,16,LG,삼성,잠실,서울_잠실,23750
2025,2025-04-17,,2025-04-17,목,평일,4,16,롯데,키움,사직,부산,11812
2025,2025-04-18,,2025-04-18,금,평일,4,16,두산,KIA,잠실,서울_잠실,23750
2025,2025-04-18,,2025-04-18,금,평일,4,16,키움,KT,고척,서울_고척,4666
2025,2025-04-18,,2025-04-18,금,평일,4,16,SSG,LG,문학,인천,18091
2025,2025-04-18,,2025-04-18,금,평일,4,16,삼성,롯데,대구,대구,24000
2025,2025-04-18,,2025-04-18,금,평일,4,16,한화,NC,대전,대전,17000
2025,2025-04-19,,2025-04-19,토,주말,4,16,두산,KIA,잠실,서울_잠실,23750
2025,2025-04-19,,2025-04-19,토,주말,4,16,키움,KT,고척,서울_고척,8281
2025,2025-04-19,,2025-04-19,토,주말,4,16,SSG,LG,문학,인천,18727
2025,2025-04-19,,2025-04-19,토,주말,4,16,삼성,롯데,대구,대구,24000
2025,2025-04-19,,2025-04-19,토,주말,4,16,한화,NC,대전,대전,17000
2025,2025-04-20,,2025-04-20,일,주말,4,16,두산,KIA,잠실,서울_잠실,23750
2025,2025-04-20,,2025-04-20,일,주말,4,16,키움,KT,고척,서울_고척,6859
2025,2025-04-20,,2025-04-20,일,주말,4,16,SSG,LG,문학,인천,23000
2025,2025-04-20,,2025-04-20,일,주말,4,16,삼성,롯데,대구,대구,24000
2025,2025-04-20,,2025-04-20,일,주말,4,16,한화,NC,대전,대전,17000
2025,2025-04-22,,2025-04-22,화,평일,4,17,LG,NC,잠실,서울_잠실,12941
2025,2025-04-22,,2025-04-22,화,평일,4,17,키움,두산,고척,서울_고척,6809
2025,2025-04-22,,2025-04-22,화,평일,4,17,KT,SSG,수원,경기_수원,5497
2025,2025-04-23,,2025-04-23,수,평일,4,17,롯데,한화,사직,부산,19376
2025,2025-04-23,,2025-04-23,수,평일,4,17,삼성,KIA,대구,대구,22257
2025,2025-04-23,,2025-04-23,수,평일,4,17,LG,NC,잠실,서울_잠실,17828
2025,2025-04-23,,2025-04-23,수,평일,4,17,키움,두산,고척,서울_고척,6801
2025,2025-04-23,,2025-04-23,수,평일,4,17,KT,SSG,수원,경기_수원,7581
2025,2025-04-24,,2025-04-24,목,평일,4,17,롯데,한화,사직,부산,22669
2025,2025-04-24,,2025-04-24,목,평일,4,17,삼성,KIA,대구,대구,24000
2025,2025-04-24,,2025-04-24,목,평일,4,17,LG,NC,잠실,서울_잠실,19325
2025,2025-04-24,,2025-04-24,목,평일,4,17,키움,두산,고척,서울_고척,7690
2025,2025-04-24,,2025-04-24,목,평일,4,17,KT,SSG,수원,경기_수원,7815
2025,2025-04-25,,2025-04-25,금,평일,4,17,한화,KT,대전,대전,17000
2025,2025-04-25,,2025-04-25,금,평일,4,17,KIA,LG,광주,광주,20500
